COMPANY ID,  MAIN TYPE  ,SUB TYPE, SHORT NAME ,DATE,PRICE HIGH,PRICE LOW,CLOSE PRICE,OPEN PRICE,TRADE VOLUME,SHARE VOLUME,TURNOVER
JKH,N,0,JKH,24-May-22,138,132.75,133.25,138,130,"109,821","14,778,705.25"
JKH,N,0,JKH,25-May-22,133,130.25,130.75,133,116,"284,078","37,557,485.00"
JKH,N,0,JKH,26-May-22,130.75,128.25,129,130.75,89,"84,978","11,031,519.00"
JKH,N,0,JKH,27-May-22,129,125,125.5,129,227,"531,671","66,681,067.00"
JKH,N,0,JKH,30-May-22,128,124,124,126,192,"555,517","69,047,889.75"
JKH,N,0,JKH,31-May-22,125,123.75,124,124,89,"502,634","62,327,450.25"
JKH,N,0,JKH,01-Jun-22,125,122,123.5,125,97,"137,280","16,819,295.25"
JKH,N,0,JKH,02-Jun-22,129.75,124.75,126.75,125,29,"19,327","2,446,011.25"
JKH,N,0,JKH,03-Jun-22,127,124.75,125.25,126.25,53,"36,196","4,532,093.75"
JKH,N,0,JKH,06-Jun-22,126,123,123.75,126,90,"205,765","25,483,506.25"
JKH,N,0,JKH,07-Jun-22,127,122.5,123,123.5,87,"511,470","62,868,935.25"
JKH,N,0,JKH,08-Jun-22,126,124.75,125.25,125.5,41,"697,096","87,119,961.75"
JKH,N,0,JKH,09-Jun-22,126,125,125,125,28,"8,792","1,100,360.75"
JKH,N,0,JKH,10-Jun-22,126,124,124.75,126,102,"300,450","37,544,109.00"
JKH,N,0,JKH,13-Jun-22,126,124.5,125,125,57,"110,193","13,775,454.00"
JKH,N,0,JKH,15-Jun-22,125,123.5,124.25,125,55,"221,236","27,435,816.50"
JKH,N,0,JKH,16-Jun-22,125,123.75,124,125,116,"549,793","68,375,011.75"
JKH,N,0,JKH,17-Jun-22,124,121,121,124,122,"241,780","29,574,253.75"
JKH,N,0,JKH,20-Jun-22,121,120,120,121,105,"121,192","14,544,774.25"
JKH,N,0,JKH,21-Jun-22,124,120,120.5,120,111,"127,628","15,413,737.75"
JKH,N,0,JKH,22-Jun-22,125,121,123.75,121,54,"58,566","7,245,139.75"
JKH,N,0,JKH,23-Jun-22,125.5,121.25,122,121.25,55,"230,666","28,145,683.00"
JKH,N,0,JKH,24-Jun-22,125,121.5,122.25,121.5,82,"715,605","87,334,637.25"
JKH,N,0,JKH,27-Jun-22,123.75,122,122,123.75,66,"367,822","45,027,038.75"
JKH,N,0,JKH,28-Jun-22,123.5,122,123,122,23,"27,042","3,325,460.00"
JKH,N,0,JKH,29-Jun-22,123.5,122,122,122.25,43,"76,857","9,382,600.25"
JKH,N,0,JKH,30-Jun-22,122,121.75,122,122,46,"20,458","2,495,824.50"
JKH,N,0,JKH,01-Jul-22,124,121.75,122.25,122.5,70,"1,203,184","146,980,439.75"
JKH,N,0,JKH,04-Jul-22,125,120.25,121,125,116,"773,284","94,286,043.00"
JKH,N,0,JKH,05-Jul-22,123,120.25,121,122,73,"27,844","3,367,491.50"
JKH,N,0,JKH,06-Jul-22,124,120.25,123,120.25,91,"626,470","77,122,881.25"
JKH,N,0,JKH,07-Jul-22,123.75,121.75,122,123.75,79,"568,472","69,577,703.25"
JKH,N,0,JKH,08-Jul-22,123,121.5,122.25,121.5,35,"8,515","1,040,386.25"
JKH,N,0,JKH,11-Jul-22,123,121.75,123,122.25,64,"215,195","26,274,131.25"
JKH,N,0,JKH,12-Jul-22,124,123,123,123,22,"70,443","8,665,760.00"
JKH,N,0,JKH,14-Jul-22,123,121.75,122,123,67,"519,608","63,393,282.00"
JKH,N,0,JKH,15-Jul-22,123,121.5,122,123,171,"710,154","86,185,485.00"
JKH,N,0,JKH,18-Jul-22,124,120.5,122,123,150,"1,040,651","126,970,488.25"
JKH,N,0,JKH,19-Jul-22,123.75,122,122,123,144,"226,932","27,699,581.00"
JKH,N,0,JKH,20-Jul-22,123,120.5,121,123,214,"1,452,414","175,778,803.25"
JKH,N,0,JKH,21-Jul-22,122,120,120.25,122,244,"1,433,745","172,425,839.25"
JKH,N,0,JKH,22-Jul-22,122,120,120.25,122,160,"155,363","18,704,410.25"
JKH,N,0,JKH,25-Jul-22,121.25,118.75,119.5,121,194,"199,619","23,911,914.00"
JKH,N,0,JKH,26-Jul-22,121.25,119.75,119.75,121.25,73,"22,851","2,738,595.50"
JKH,N,0,JKH,27-Jul-22,121,120.5,120.5,121,50,"31,919","3,846,785.50"
JKH,N,0,JKH,28-Jul-22,122,120,120.25,122,200,"106,261","12,823,746.50"
